K,Time
799,7
800,7
801,7
802,7
803,7
804,8
805,10
806,9
807,8
808,9
809,11
810,8
811,8
812,10
813,8
814,7
815,7
816,7
817,9
818,9
819,8
820,9
821,8
822,8
823,8
824,8
825,7
826,8
827,7
828,8
829,7
830,7
831,8
832,7
833,7
834,8
835,8
836,7
837,7
838,8
839,8
840,7
841,7
842,7
843,7
844,7
845,7
846,7
847,7
848,7
849,7
850,8
851,9
852,8
853,7
854,7
855,7
856,8
857,7
858,7
859,8
860,7
861,7
862,7
863,7
864,7
865,7
866,8
867,7
868,8
869,7
870,7
871,7
872,8
873,7
874,7
875,8
876,7
877,7
878,8
879,7
880,7
881,8
882,7
883,7
884,7
885,7
886,7
887,7
888,8
889,7
890,10
891,11
892,9
893,9
894,8
895,8
896,11
897,10
898,9
899,8
900,8
901,8
902,8
903,8
904,8
905,8
906,8
907,8
908,8
909,8
910,8
911,8
912,9
913,8
914,8
915,8
916,8
917,8
918,8
919,8
920,8
921,8
922,8
923,8
924,7
925,9
926,8
927,9
928,7
929,8
930,8
931,8
932,8
933,8
934,9
935,8
936,8
937,8
938,8
939,8
940,8
941,8
942,6
943,7
944,6
945,7
946,7
947,6
948,7
949,6
950,7
951,7
952,6
953,7
954,7
955,6
956,7
957,6
958,7
959,7
960,6
961,7
962,6
963,7
964,7
965,9
966,9
967,7
968,8
969,7
970,7
971,6
972,7
973,7
974,7
975,7
976,10
